-471.1795, -784.03204, 66.74908
-459.1277, -790.9402, 88.7609
-438.2648, -766.0081, 67.08336
-471.1795, -784.03204, 66.74908
-459.1277, -790.9402, 88.7609
-463.01205, -747.45825, 69.13379
-614.3822, -875.9039, 87.41579
-610.4941, -843.7055, 80.94822
-582.933, -850.0235, 83.19093
-582.933, -850.0235, 83.19093
-573.34174, -809.92816, 90.50752
-543.04315, -843.3195, 92.804955
-609.17017, -806.02954, 104.86046
-573.34174, -809.92816, 90.50752
-588.7155, -817.2325, 134.48839
-609.17017, -806.02954, 104.86046
-573.34174, -809.92816, 90.50752
-576.507, -772.56976, 92.60209
-573.34174, -809.92816, 90.50752
-547.051, -820.869, 129.98912
-588.7155, -817.2325, 134.48839
-573.34174, -809.92816, 90.50752
-547.051, -820.869, 129.98912
-543.04315, -843.3195, 92.804955
-573.34174, -809.92816, 90.50752
-536.41516, -791.7382, 90.375046
-576.507, -772.56976, 92.60209
-573.34174, -809.92816, 90.50752
-576.507, -772.56976, 92.60209
-549.8668, -768.4795, 90.241486
-547.051, -820.869, 129.98912
-537.574, -789.546, 134.68085
-558.9361, -780.08734, 151.55334
-536.41516, -791.7382, 90.375046
-509.62854, -789.97595, 86.59459
-511.35104, -764.6935, 85.85676
-509.62854, -789.97595, 86.59459
-549.8668, -768.4795, 90.241486
-519.66895, -767.53516, 123.97738
-496.18994, -788.8123, 132.13588
-477.1189, -762.05774, 121.23321
-505.83438, -742.4171, 136.15887
-496.18994, -788.8123, 132.13588
-477.1189, -762.05774, 121.23321
-478.44028, -777.1537, 143.85904
-496.18994, -788.8123, 132.13588
-505.83438, -742.4171, 136.15887
-478.44028, -777.1537, 143.85904
-432.75934, -805.7303, 62.821407
-403.9509, -811.823, 63.98077
-409.21942, -794.8144, 92.395386
-432.75934, -805.7303, 62.821407
-409.21942, -794.8144, 92.395386
-438.2648, -766.0081, 67.08336
-432.75934, -805.7303, 62.821407
-438.2648, -766.0081, 67.08336
-421.5425, -767.37164, 85.14287
-403.9509, -811.823, 63.98077
-360.2885, -806.852, 59.15599
-367.32477, -818.40155, 91.8608
-403.9509, -811.823, 63.98077
